Unnamed: 0,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
0,2017-06-05 00:00:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,
1,2017-06-05 00:01:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
2,2017-06-05 00:02:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
3,2017-06-05 00:03:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
4,2017-06-05 00:04:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
5,2017-06-05 00:05:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
6,2017-06-05 00:06:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
7,2017-06-05 00:07:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
8,2017-06-05 00:08:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
9,2017-06-05 00:09:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
10,2017-06-05 00:10:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
11,2017-06-05 00:11:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
12,2017-06-05 00:12:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
13,2017-06-05 00:13:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
14,2017-06-05 00:14:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
15,2017-06-05 00:15:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
16,2017-06-05 00:16:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
17,2017-06-05 00:17:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
18,2017-06-05 00:18:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
19,2017-06-05 00:19:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
20,2017-06-05 00:20:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
21,2017-06-05 00:21:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
22,2017-06-05 00:22:00,0,0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距大朱村 约220米,距方家湾 约563米",114.36926499999998,30.354101,0,0.0
