,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
0,,2017-04-24 00:00:50,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,
1,,2017-04-24 00:04:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
2,,2017-04-24 00:07:22,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
3,,2017-04-24 00:10:39,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
4,,2017-04-24 00:13:55,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
5,,2017-04-24 00:17:11,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
6,,2017-04-24 00:20:27,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
7,,2017-04-24 00:23:42,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
8,,2017-04-24 00:26:59,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
9,,2017-04-24 00:30:16,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
10,,2017-04-24 00:33:32,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
11,,2017-04-24 00:36:48,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
12,,2017-04-24 00:40:04,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
13,,2017-04-24 00:43:20,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
14,,2017-04-24 00:46:37,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
15,,2017-04-24 00:49:53,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
16,,2017-04-24 00:53:09,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距程家河 约509米,距芮家河 约723米",111.65608,28.984968,0,0.0
