Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,1,1,1,1,1,1,1,1,1,1,1,,2017-05-27 16:08:04,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
1,2,2,2,2,2,2,2,2,2,2,2,,2017-05-27 16:11:20,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
2,3,3,3,3,3,3,3,3,3,3,3,,2017-05-27 16:14:36,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
3,4,4,4,4,4,4,4,4,4,4,4,,2017-05-27 16:16:58,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
4,5,5,5,5,5,5,5,5,5,5,5,,2017-05-27 16:17:14,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
5,6,6,6,6,6,6,6,6,6,6,6,,2017-05-27 16:17:30,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
6,7,7,7,7,7,7,7,7,7,7,7,,2017-05-27 16:17:46,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
7,8,8,8,8,8,8,8,8,8,8,8,,2017-05-27 16:18:02,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
8,9,9,9,9,9,9,9,9,9,9,9,,2017-05-27 16:18:18,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
9,10,10,10,10,10,10,10,10,10,10,10,,2017-05-27 16:18:34,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
10,11,11,11,11,11,11,11,11,11,11,11,,2017-05-27 16:18:50,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
11,12,12,12,12,12,12,12,12,12,12,12,,2017-05-27 16:19:06,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
12,13,13,13,13,13,13,13,13,13,13,13,,2017-05-27 16:19:22,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约45米,距林家巷子 约333米",112.67121000000002,28.278109000000004,0.0,0
13,14,14,14,14,14,14,14,14,14,14,14,,2017-05-27 16:19:38,8,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约141米,距金腾科技园 约202米",112.67304,28.278133,179.2223932784238,0
14,15,15,15,15,15,15,15,15,15,15,15,,2017-05-27 16:19:54,14,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约195米,距金腾科技园 约190米",112.67356,28.27797,54.05047079772346,0
15,16,16,16,16,16,16,16,16,16,16,16,,2017-05-27 16:20:10,15,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距金腾科技园 约189米,距窑家坡 约252米",112.674126,28.27783,57.57028544605821,0
16,17,17,17,17,17,17,17,17,17,17,17,,2017-05-27 16:20:26,13,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金水路,距金腾科技园 约218米,距窑家坡 约318米",112.67475,28.277573,67.45752862508704,0
17,18,18,18,18,18,18,18,18,18,18,18,,2017-05-27 16:20:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金水路,距金腾科技园 约238米,距龙桥安置区 约259米",112.675156,28.277475,41.224066871877774,0
18,19,19,19,19,19,19,19,19,19,19,19,,2017-05-27 16:20:58,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金水路,距金腾科技园 约238米,距龙桥安置区 约259米",112.675156,28.277475,0.0,0
19,20,20,20,20,20,20,20,20,20,20,20,,2017-05-27 16:21:14,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金水路,距金腾科技园 约238米,距龙桥安置区 约259米",112.675156,28.277475,0.0,0
20,21,21,21,21,21,21,21,21,21,21,21,,2017-05-27 16:21:30,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金水路,距金腾科技园 约238米,距龙桥安置区 约259米",112.675156,28.277475,0.0,0
21,22,22,22,22,22,22,22,22,22,22,22,,2017-05-27 16:21:47,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金水路,距金腾科技园 约238米,距龙桥安置区 约259米",112.675156,28.277475,0.0,0
22,23,23,23,23,23,23,23,23,23,23,23,,2017-05-27 16:22:03,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金水路,距金腾科技园 约238米,距龙桥安置区 约259米",112.675156,28.277475,0.0,0
23,24,24,24,24,24,24,24,24,24,24,24,,2017-05-27 16:22:19,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金水路,距金腾科技园 约238米,距龙桥安置区 约259米",112.675156,28.277475,0.0,0
24,25,25,25,25,25,25,25,25,25,25,25,,2017-05-27 16:22:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金水路,距金腾科技园 约238米,距龙桥安置区 约259米",112.675156,28.277475,0.0,0
25,26,26,26,26,26,26,26,26,26,26,26,,2017-05-27 16:22:51,6,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金水路,距金腾科技园 约252米,距龙桥安置区 约242米",112.67529,28.277386,16.43549082429168,0
26,27,27,27,27,27,27,27,27,27,27,27,,2017-05-27 16:23:07,16,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县,距龙桥安置区 约226米,距金腾科技园 约293米",112.67512,28.276953,50.944226083161716,0
27,28,28,28,28,28,28,28,28,28,28,28,,2017-05-27 16:23:23,12,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县,距龙桥安置区 约224米,距工友超市 约338米",112.67483500000002,28.2763,77.78933041163779,0
28,29,29,29,29,29,29,29,29,29,29,29,,2017-05-27 16:23:39,14,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金沙路,距龙桥安置区 约238米,距洪家老屋 约314米",112.674644,28.275862,52.17150268182933,0
29,30,30,30,30,30,30,30,30,30,30,30,,2017-05-27 16:23:55,23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金沙路,距洪家老屋 约267米,距龙桥安置区 约271米",112.67439,28.275248,72.66361616228694,0
30,31,31,31,31,31,31,31,31,31,31,31,,2017-05-27 16:24:11,21,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金沙路,距洪家老屋 约218米,距龙桥安置区 约348米",112.67401,28.274273,114.6238920763283,0
